,word,actual_frequency,relative_frequency,zipf_frequency,difference_actual,difference_percent
137,said,2,1/138,0.5144927536231884,1.4855072463768115,388.7323943661972
138,work,2,1/139,0.5107913669064749,1.4892086330935252,391.5492957746479
139,nations,2,1/140,0.5071428571428571,1.4928571428571429,394.3661971830986
140,care,2,1/141,0.5035460992907801,1.49645390070922,397.18309859154937
141,gettysburg,2,1/142,0.5,1.5,400.0
142,conceived,2,1/143,0.4965034965034965,1.5034965034965035,402.8169014084507
143,whether,2,1/144,0.4930555555555555,1.5069444444444444,405.6338028169014
144,long,2,1/145,0.4896551724137931,1.510344827586207,408.4507042253521
145,dedicate,2,1/146,0.48630136986301364,1.5136986301369864,411.2676056338029
146,gave,2,1/147,0.48299319727891155,1.5170068027210886,414.0845070422535
147,far,2,1/148,0.47972972972972977,1.5202702702702702,416.9014084507042
148,what,2,1/149,0.47651006711409394,1.523489932885906,419.718309859155
149,task,2,1/150,0.4733333333333334,1.5266666666666666,422.53521126760563
150,devotion,2,1/151,0.47019867549668876,1.5298013245033113,425.3521126760563
151,farewell,2,1/152,0.4671052631578947,1.5328947368421053,428.16901408450707
152,ever,2,1/153,0.46405228758169936,1.5359477124183005,430.9859154929577
153,cannot,2,1/154,0.4610389610389611,1.5389610389610389,433.8028169014084
154,inaugural,1,1/155,0.45806451612903226,0.5419354838709678,218.3098591549296
155,united,1,1/156,0.4551282051282051,0.5448717948717949,219.71830985915494
156,states,1,1/157,0.45222929936305734,0.5477707006369427,221.1267605633803
157,capitol,1,1/158,0.44936708860759494,0.5506329113924051,222.53521126760566
158,dc,1,1/159,0.44654088050314467,0.5534591194968553,223.943661971831
159,march,1,1/160,0.44375000000000003,0.5562499999999999,225.3521126760563
160,appearing,1,1/161,0.4409937888198757,0.5590062111801243,226.7605633802817
161,oath,1,1/162,0.43827160493827155,0.5617283950617284,228.16901408450704
162,presidential,1,1/163,0.43558282208588955,0.5644171779141105,229.5774647887324
163,office,1,1/164,0.4329268292682927,0.5670731707317074,230.98591549295776
164,extended,1,1/165,0.4303030303030303,0.5696969696969697,232.3943661971831
165,first,1,1/166,0.427710843373494,0.572289156626506,233.8028169014084
166,then,1,1/167,0.4251497005988024,0.5748502994011976,235.2112676056338
167,statement,1,1/168,0.4226190476190476,0.5773809523809523,236.61971830985914
168,somewhat,1,1/169,0.42011834319526625,0.5798816568047338,238.0281690140845
169,detail,1,1/170,0.4176470588235294,0.5823529411764705,239.43661971830986
170,course,1,1/171,0.4152046783625731,0.5847953216374269,240.84507042253526
171,pursued,1,1/172,0.4127906976744186,0.5872093023255813,242.25352112676055
172,seemed,1,1/173,0.4104046242774566,0.5895953757225434,243.66197183098595
173,expiration,1,1/174,0.40804597701149425,0.5919540229885057,245.07042253521126
174,during,1,1/175,0.4057142857142857,0.5942857142857143,246.47887323943664
175,declarations,1,1/176,0.40340909090909094,0.5965909090909091,247.88732394366195
176,constantly,1,1/177,0.4011299435028249,0.5988700564971752,249.2957746478873
177,called,1,1/178,0.398876404494382,0.601123595505618,250.7042253521127
